algoritmo,tiempo,memoria
MedicionInsertarHashMap,179367400,1328896
MedicionInsertarHashMap,111887700,1328896
MedicionInsertarHashMap,123210800,1328896
algoritmo,tiempo,memoria
MedicionInsertarHashMap,141726900,1328896
MedicionInsertarHashMap,116611100,1328896
MedicionInsertarHashMap,123886300,1328896
algoritmo,tiempo,memoria
MedicionInsertarHashMap,147039000,1328896
MedicionInsertarHashMap,112394100,1328896
MedicionInsertarHashMap,148733800,1328896
algoritmo,tiempo,memoria
MedicionInsertarHashMap,119828200,1328896
MedicionInsertarHashMap,109597700,1328896
MedicionInsertarHashMap,96430500,1328896
algoritmo,tiempo,memoria
MedicionInsertarHashMap,193565500,1328896
MedicionInsertarHashMap,116216200,1328896
MedicionInsertarHashMap,108997200,1328896
algoritmo,tiempo,memoria
MedicionInsertarHashMap,145400600,1328896
MedicionInsertarHashMap,114390100,1328896
MedicionInsertarHashMap,116882800,1328896
algoritmo,tiempo,memoria
MedicionInsertarHashMap,153256400,1328896
MedicionInsertarHashMap,94186500,1328896
MedicionInsertarHashMap,109197100,1328896
MedicionInsertarHashMap,114047100,1328896
MedicionInsertarHashMap,78896000,1328896
algoritmo,tiempo,memoria
MedicionInsertarHashMap,78814900,1328896
MedicionInsertarHashMap,73740100,1328896
MedicionInsertarHashMap,75392200,1328896
MedicionInsertarHashMap,80384000,1328896
MedicionInsertarHashMap,52389000,1328896
